كود المنتج (SKU),اسم المنتج التجاري,اسم المنتج بالمتجر,الوصف القصير,الوصف التفصيلي,الفئة,الفئة الفرعية,سعر الجملة,سعر البيع,السعر قبل الخصم,نسبة الخصم %,هامش الربح,الكمية المتاحة,حد التنبيه,الوزن (جرام),رابط الصورة الرئيسية,روابط صور إضافية,كود المورد,حالة المنتج,تاريخ الإضافة,الكلمات المفتاحية (SEO)
code0025,Arm and Leg Pedal Exerciser,بدال تمارين رياضي,جهاز تدريب رياضي للذراعين والقدمين قابل للطي مع شاشة ديجيتال..,جهاز تدريب رياضي للذراعين والقدمين قابل للطي مع شاشة ديجيتال، مثالي لعمل جلسات علاج طبيعي وتنشيط الدورة الدموية.,العناية بالجسم,أجهزة رياضية,650.0,850.0,1000.0,0.15,0.2352941176,50.0,5.0,2500.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5778280195398765958.jpg,,5.778280195398766e+18,نشط,2026-08-11,"بدال تمارين رياضي, تمارين منزلية, بدال قدمين, تقوية العضلات, جهاز رياضي منزلي"
code0026,HOME GOLD Ion Vapour Steamer,جهاز بخار الوجه المنزلي,جهاز بخار الوجه الأيوني HG-606..,جهاز بخار الوجه الأيوني HG-606، يفتح المسام وينظف البشرة بعمق ويمنحك ترطيباً مثالياً لبشرة أكثر نضارة وإشراقاً.,العناية بالبشرة,أجهزة بخار الوجه,900.0,950.0,1300.0,0.2692307692,0.05263157895,50.0,5.0,600.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297373.jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز بخار الوجه المنزلي, جهاز بخار الوجه, بخار منزلي, تنظيف المسام, نضارة البشرة"
FS-0001,Hydra Facial 9 in 1,جهاز العناية بالبشرة 9 في 1,جهاز متكامل للعناية بالبشرة وتنظيفها العميق..,جهاز متكامل للعناية بالبشرة وتنظيفها العميق، يجمع 9 وظائف في جهاز واحد للحصول على بشرة نضرة ومشرقة.,العناية بالبشرة,أجهزة تنظيف وتقشير,0.0,,,0.0,0.0,0.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297376.jpg,,5.881709725215297e+18,غير متوفر,2026-08-11,"جهاز العناية بالبشرة 9 في 1, منتجات العناية, أجهزة تجميل, متجر فرح"
code0001,Dr. Pen Ultima A1,ديرما بن Dr. Pen Ultima A1,قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين..,قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين، يأتي مع إبر غيار لنتائج مثالية.,العناية بالبشرة,ديرما بن,1000.0,1200.0,1500.0,0.2,0.1666666667,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297378.jpg,,5.881709725215297e+18,نشط,2026-08-11,"ديرما بن Dr. Pen Ultima A1, ديرما بن, علاج الندبات, نضارة البشرة, كولاجين"
code0002,Dr. Pen Ultima A6,ديرما بن Dr. Pen Ultima A6,جهاز ديرما بن لاسلكي متطور للعناية بالبشرة..,جهاز ديرما بن لاسلكي متطور للعناية بالبشرة، يساعد على تقليل التجاعيد والندبات لتبدو بشرتك أكثر شباباً.,العناية بالبشرة,ديرما بن,1600.0,2000.0,2500.0,0.2,0.2,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297379.jpg,,5.881709725215297e+18,نشط,2026-08-11,"ديرما بن Dr. Pen Ultima A6, ديرما بن, علاج الندبات, نضارة البشرة, كولاجين"
code0003,Electric Teeth Cleaner,جهاز تنظيف الأسنان الكهربائي,منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة..,منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة، لابتسامة ناصعة البياض.,العناية بالأسنان,أجهزة تنظيف الأسنان,380.0,550.0,675.0,0.1851851852,0.3090909091,50.0,5.0,200.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297384.jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز تنظيف الأسنان الكهربائي, تنظيف الأسنان, الخيط المائي, تبييض الأسنان, لثة صحية"
code0027,HD Vision WrapArounds,نظارات الرؤية الليلية والنهارية,نظارات HD Vision عالية الوضوح للقيادة..,نظارات HD Vision عالية الوضوح للقيادة، تقلل التوهج وتوضح الرؤية بشكل مثالي، يمكن ارتداؤها فوق النظارات الطبية.,العناية الشخصية,أخرى,60.0,90.0,120.0,0.25,0.3333333333,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297387.jpg,,5.881709725215297e+18,نشط,2026-08-11,"نظارات الرؤية الليلية والنهارية, منتجات العناية, أجهزة تجميل, متجر فرح"
code0004,ZGTS Derma Roller,ديرما رولر ZGTS,أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل...,أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل.,العناية بالبشرة,ديرما رولر,90.0,150.0,180.0,0.1666666667,0.4,50.0,5.0,75.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297388.jpg,,5.881709725215297e+18,نشط,2026-08-11,"ديرما رولر ZGTS, ديرما رولر, تنشيط الكولاجين, عناية بالبشرة, رولر"
FS-0002,Water Facial Cleaner,جهاز شفط الرؤوس السوداء وتنظيف البشرة,جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء..,جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء، لبشرة نقية وصافية.,العناية بالبشرة,أجهزة إزالة الشوائب,0.0,,,0.0,0.0,0.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389.jpg,,5.881709725215297e+18,غير متوفر,2026-08-11,"جهاز شفط الرؤوس السوداء وتنظيف البشرة, منتجات العناية, أجهزة تجميل, متجر فرح"
code0005,SPA Micro Bubble Cleaner,جهاز إزالة الرؤوس السوداء المائي,جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي..,جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي، يأتي مع رؤوس متعددة تناسب جميع أنواع البشرة.,العناية بالبشرة,أجهزة إزالة الشوائب,250.0,500.0,700.0,0.2857142857,0.5,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389 (1).jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز إزالة الرؤوس السوداء المائي, منتجات العناية, أجهزة تجميل, متجر فرح"
