كود المنتج,اسم المنتج التجاري,اسم المنتج بالمتجر,وصف المنتج,رابط الصورة المحلي,سعر الجملة (يملأه المورد),الكمية المطلوبة,ملاحظات المورد
"5881709725215297376","","جهاز العناية بالبشرة 9 في 1","جهاز متكامل للعناية بالبشرة وتنظيفها العميق، يجمع 9 وظائف في جهاز واحد للحصول على بشرة نضرة ومشرقة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297376.jpg",,,
"5881709725215297378","Dr. Pen Ultima A1","ديرما بن Dr. Pen Ultima A1","قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين، يأتي مع إبر غيار لنتائج مثالية.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297378.jpg",,,
"5881709725215297379","Dr. Pen Ultima A6","ديرما بن Dr. Pen Ultima A6","جهاز ديرما بن لاسلكي متطور للعناية بالبشرة، يساعد على تقليل التجاعيد والندبات لتبدو بشرتك أكثر شباباً.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297379.jpg",,,
"5881709725215297384","Electric Teeth Cleaner","جهاز تنظيف الأسنان الكهربائي","منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة، لابتسامة ناصعة البياض.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297384.jpg",,,
"5881709725215297388","ZGTS Derma Roller","ديرما رولر ZGTS","أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297388.jpg",,,
"5881709725215297389 (1)","","جهاز إزالة الرؤوس السوداء المائي","جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي، يأتي مع رؤوس متعددة تناسب جميع أنواع البشرة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389%20(1).jpg",,,
"5881709725215297389","","جهاز شفط الرؤوس السوداء وتنظيف البشرة","جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء، لبشرة نقية وصافية.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389.jpg",,,
"5881709725215297390","Portable High Frequency LZ-006A","جهاز التردد العالي المحمول","جهاز العناية بالبشرة بتقنية التردد العالي، يعالج حب الشباب ويحفز الدورة الدموية لتعزيز صحة ونضارة بشرتك.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297390.jpg",,,
"5881709725215297392","Intense Pulsed Light ES-1081","جهاز تقليل التجاعيد بالنبضات الضوئية","جهاز لتدليك وشد الوجه والرقبة، يعمل بتقنية النبضات الضوئية لتقليل التجاعيد واستعادة شباب البشرة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297392.jpg",,,
"5881709725215297393","","طقم كاسات حجامة سيليكون","مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق، تستخدم للتدليك وتنشيط الدورة الدموية وتخفيف آلام العضلات.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297393.jpg",,,
"5881709725215297395","Joy 2-in-1 Dryer & Styler","فرشاة تصفيف الشعر جوي","مجفف ومصفف شعر احترافي 2 في 1 من جوي، يمنحك شعراً ناعماً وكثيفاً في وقت قياسي وبكل سهولة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297395.jpg",,,
"5881709725215297418","Kemei KM-099 / T99","ماكينة حلاقة الشعر كيمي KM-099","ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي، بتصميم أنيق ومحرك قوي لنتائج دقيقة وحلاقة مريحة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297418.jpg",,,
"5881709725215297425","Blue Magic XH-040H","جهاز بخار نانو للعناية بالشعر","مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق، يساعد في تعزيز امتصاص منتجات العناية بالشعر.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297425.jpg",,,
"5881709725215297432","Dr. Pen Ultima M5-W","ديرما بن دكتور بن ألتيما M5-W","جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي، مثالي لتحسين ملمس البشرة وعلاج عيوبها.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297432.jpg",,,
"5881709725215297436","The Glam Hair Curler","جهاز تجعيد الشعر التلقائي","جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297436.jpg",,,
"5881709725215297437","DSP Flawless Facial Remover","جهاز إزالة شعر الوجه DSP","مزيل شعر الوجه الصغير والأنيق من DSP، يزيل الشعر الزائد بلطف وبدون ألم لبشرة ناعمة خالية من العيوب.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297437.jpg",,,
"5881709725215297447","","كاسات مساج سيليكون للجسم","مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق.","file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297447.jpg",,,
