رقم,اسم الملف,اسم المنتج المبدئي,التصنيف,بصمة الصورة,ملاحظة تشابه
1,Hazem19792019_10.jpg,منتج Hazem19792019_10,أخرى,707f424243467fff,
2,Hazem19792019_100.jpg,منتج Hazem19792019_100,أخرى,ff838383033f3f9f,
3,Hazem19792019_1000.jpg,منتج Hazem19792019_1000,أخرى,bd9dbdedf42fc0e0,يوجد صور متطابقة/متشابهة بصرياً
4,Hazem19792019_1001.jpg,منتج Hazem19792019_1001,أخرى,1000187e7e7e2c00,
5,Hazem19792019_1002.jpg,منتج Hazem19792019_1002,أخرى,783f3f3e2e308880,
6,Hazem19792019_1003.jpg,منتج Hazem19792019_1003,أخرى,ffffff80802080fe,يوجد صور متطابقة/متشابهة بصرياً
7,Hazem19792019_1004.jpg,منتج Hazem19792019_1004,أخرى,9f9181a1ffdf81f8,
8,Hazem19792019_1005.jpg,منتج Hazem19792019_1005,أخرى,007cff7fe7fc7e00,
9,Hazem19792019_1006.jpg,منتج Hazem19792019_1006,أخرى,fce0ececf4fcf800,
10,Hazem19792019_1007.jpg,منتج Hazem19792019_1007,أخرى,ffff7f0327221838,
11,Hazem19792019_1008.jpg,منتج Hazem19792019_1008,أخرى,0707060e40f0feff,
12,Hazem19792019_1009.jpg,منتج Hazem19792019_1009,أخرى,001fffffff203818,
13,Hazem19792019_1010.jpg,منتج Hazem19792019_1010,أخرى,3c3e86acbdb48006,
14,Hazem19792019_1011.jpg,منتج Hazem19792019_1011,أخرى,1c7ef97c3e3c1c10,
15,Hazem19792019_1012.jpg,منتج Hazem19792019_1012,أخرى,007fffdffefc0000,
16,Hazem19792019_1013.jpg,منتج Hazem19792019_1013,أخرى,0079fdfdffef0000,
17,Hazem19792019_1014.jpg,منتج Hazem19792019_1014,أخرى,3e741c6c7a7a4e44,
18,Hazem19792019_1015.jpg,منتج Hazem19792019_1015,أخرى,282efffd3efe0800,
19,Hazem19792019_1016.jpg,منتج Hazem19792019_1016,أخرى,fefe1d0e3f0e0e1e,
20,Hazem19792019_1017.jpg,منتج Hazem19792019_1017,أخرى,190c0c1c7f7f6e3f,
21,Hazem19792019_1018.jpg,منتج Hazem19792019_1018,أخرى,3f38381c7cfe6000,
22,Hazem19792019_1019.jpg,منتج Hazem19792019_1019,أخرى,c6c6d2d69ed6c7df,
23,Hazem19792019_102.jpg,منتج Hazem19792019_102,أخرى,fff7f7de737f0000,
24,Hazem19792019_1020.jpg,منتج Hazem19792019_1020,أخرى,e7c3c3c3fbe7c0c0,
25,Hazem19792019_1021.jpg,منتج Hazem19792019_1021,أخرى,00bcbcfcfc210000,
26,Hazem19792019_1022.jpg,منتج Hazem19792019_1022,أخرى,307e7a7efee28000,
27,Hazem19792019_1023.jpg,منتج Hazem19792019_1023,أخرى,33fbfbfa3b100010,
28,Hazem19792019_1024.jpg,منتج Hazem19792019_1024,أخرى,7f01d3d3db00ffd9,
29,Hazem19792019_1025.jpg,منتج Hazem19792019_1025,أخرى,fff1019cb081ff70,
30,Hazem19792019_1026.jpg,منتج Hazem19792019_1026,أخرى,ffff010337e37f40,
31,Hazem19792019_1027.jpg,منتج Hazem19792019_1027,أخرى,00003e3e3e24f7ff,
32,Hazem19792019_1028.jpg,منتج Hazem19792019_1028,أخرى,00f8f8fcfe808080,
