كود المنتج,اسم المنتج التجاري,اسم المنتج بالمتجر,وصف المنتج,أقل سعر مستهلك (ج.م),أعلى سعر مستهلك (ج.م),احطياطي مخزون,سعر الجمله,رابط الصورة المحلي,تنسيق اللون في الشيت
"SK-001","جهاز العناية بالبشرة 9 في 1","جهاز العناية بالبشرة 9 في 1","جهاز متكامل للعناية بالبشرة وتنظيفها العميق، يجمع 9 وظائف في جهاز واحد للحصول على بشرة نضرة ومشرقة.",5750,8800,100,0,"images/feat3.jpg",""
"SK-002","ديرما بن Dr. Pen Ultima A1","ديرما بن Dr. Pen Ultima A1","قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين، يأتي مع إبر غيار لنتائج مثالية.",1375,1815,100,0,"images/products/SK-002.jpg",""
"SK-003","ديرما بن Dr. Pen Ultima A6","ديرما بن Dr. Pen Ultima A6","جهاز ديرما بن لاسلكي متطور للعناية بالبشرة، يساعد على تقليل التجاعيد والندبات لتبدو بشرتك أكثر شباباً.",2200,3190,100,0,"images/products/SK-003.jpg",""
"DT-001","جهاز تنظيف الأسنان الكهربائي","جهاز تنظيف الأسنان الكهربائي","منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة، لابتسامة ناصعة البياض.",500,715,100,0,"images/products/DT-001.jpg",""
"SK-004","ديرما رولر ZGTS","ديرما رولر ZGTS","أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل.",247,412,100,0,"images/products/SK-004.jpg",""
"SK-005","جهاز إزالة الرؤوس السوداء المائي","جهاز إزالة الرؤوس السوداء المائي","جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي، يأتي مع رؤوس متعددة تناسب جميع أنواع البشرة.",340,495,100,0,"images/products/SK-005.jpg",""
"SK-006","جهاز شفط الرؤوس السوداء وتنظيف البشرة","جهاز شفط الرؤوس السوداء وتنظيف البشرة","جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء، لبشرة نقية وصافية.",300,440,100,0,"images/products/SK-006.jpg",""
"SK-007","جهاز التردد العالي المحمول","جهاز التردد العالي المحمول","جهاز العناية بالبشرة بتقنية التردد العالي، يعالج حب الشباب ويحفز الدورة الدموية لتعزيز صحة ونضارة بشرتك.",775,990,100,0,"images/products/SK-007.jpg",""
"SK-008","جهاز تقليل التجاعيد بالنبضات الضوئية","جهاز تقليل التجاعيد بالنبضات الضوئية","جهاز لتدليك وشد الوجه والرقبة، يعمل بتقنية النبضات الضوئية لتقليل التجاعيد واستعادة شباب البشرة.",975,1210,100,0,"images/products/SK-008.jpg",""
"BD-001","طقم كاسات حجامة سيليكون","طقم كاسات حجامة سيليكون","مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق، تستخدم للتدليك وتنشيط الدورة الدموية وتخفيف آلام العضلات.",325,462,100,0,"images/products/BD-001.jpg",""
"HR-001","فرشاة تصفيف الشعر جوي","فرشاة تصفيف الشعر جوي","مجفف ومصفف شعر احترافي 2 في 1 من جوي، يمنحك شعراً ناعماً وكثيفاً في وقت قياسي وبكل سهولة.",1550,2200,100,0,"images/products/HR-001.jpg",""
"HR-002","ماكينة حلاقة الشعر كيمي KM-099","ماكينة حلاقة الشعر كيمي KM-099","ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي، بتصميم أنيق ومحرك قوي لنتائج دقيقة وحلاقة مريحة.",327,528,100,0,"images/products/HR-002.jpg",""
